"ER_NAICS_THREE_DIGITS","DESC","DESC_SIMPLIFIED","TOTAL_INDUSTRY_EMPLOYMENT"
315,"Knitting fabric mills, and apparel knitting mills + Cut and sew, and apparel accessories and other apparel manufacturing","Garment manufacturing",263802
814,"Private households","Private households",1002265
115,"Support activities for agriculture and forestry","Agriculture support activities",220734
485,"Bus service and urban transit + Taxi and limousine service","Transportation",1417240
111,"Crop production","Crop production",1418244
721,"Traveler accommodation + Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps","Hotels and RV parks",2186008
311,"Animal food, grain and oilseed milling + Sugar and confectionery products + Fruit and vegetable preserving and specialty food manufacturing + Dairy product manufacturing + Animal slaughtering and processing + Retail bakeries + Bakeries and tortilla manufacturing, except retail bakeries + Seafood and other miscellaneous foods, n.e.c. + Not specified food industries","Food production",2103402
425,"Wholesale electronic markets and agents and brokers","Wholesale electronics",126821
316,"Footwear manufacturing + Leather and hide tanning and finishing, and other leather and allied product manufacturing","Footwear manufacturing",56392
812,"Barber shops + Beauty salons + Nail salons and other personal care services + Drycleaning and laundry services + Funeral homes, and cemeteries and crematories + Other personal services","Barbers, dry cleaners, funeral homes",3062435
313,"Fiber, yarn, and thread mills + Fabric mills, except knitting mills + Textile and fabric finishing and fabric coating mills + Knitting fabric mills, and apparel knitting mills","Fiber, yarn and thread mills",184042
334,"Machinery manufacturing, n.e.c. or not specified + Computer and peripheral equipment manufacturing + Communications, audio, and video equipment manufacturing + Navigational, measuring, electromedical, and control instruments manufacturing + Electronic component and product manufacturing, n.e.c.","Machine and electronics manufacturing",2165207
561,"Employment services + Business support services + Travel arrangements and reservation services + Investigation and security services + Services to buildings and dwellings (except cleaning during construction and immediately after construction) + Landscaping services + Other administrative and other support services","Building, landscaping and administrative business services",8068533
314,"Carpet and rug mills + Textile product mills, except carpet and rug","Carpet, rug and textile mills",148456
339,"Medical equipment and supplies manufacturing + Sporting and athletic goods, and doll, toy and game manufacturing + Miscellaneous manufacturing, n.e.c.","Medical and athletic goods manufacturing",1363880
493,"Warehousing and storage","Warehousing",1069387
488,"Services incidental to transportation","Services incidental to transportation",1047368
424,"Paper and paper products merchant wholesalers + Drugs, sundries, and chemical and allied products merchant  wholesalers + Apparel, piece goods, and notions merchant wholesalers + Grocery and related product merchant wholesalers + Farm product raw material merchant wholesalers + Petroleum and petroleum products merchant wholesalers + Alcoholic beverages merchant wholesalers + Farm supplies merchant wholesalers + Miscellaneous nondurable goods merchant wholesalers","Miscellaneous wholesalers",2119924
325,"Resin, synthetic rubber, and fibers and filaments manufacturing + Agricultural chemical manufacturing + Pharmaceutical and medicine manufacturing + Paint, coating, and adhesive manufacturing + Soap, cleaning compound, and cosmetics manufacturing + Industrial and miscellaneous chemicals","Medical, paints and industrials manufacturing",1614517
454,"Electronic shopping and mail-order houses + Vending machine operators + Fuel dealers + Other direct selling establishments","E-commerce, vending machine operators, fuel dealers",1072355
481,"Air transportation","Air transportation",718804
722,"Restaurants and other food services + Drinking places, alcoholic beverages","Restaurants",13198705
811,"Automotive repair and maintenance + Car washes + Electronic and precision equipment repair and maintenance + Commercial and industrial machinery and equipment repair and maintenance + Personal and household goods repair and maintenance","Auto, electronics, machine and household goods repair",2437978
484,"Truck transportation","Truck transportation",2289836
337,"Furniture and related product manufacturing","Furniture manufacturing",514653
541,"Legal services + Accounting, tax preparation, bookkeeping, and payroll services + Architectural, engineering, and related services + Specialized design services + Computer systems design and related services + Management, scientific, and technical consulting services + Scientific research and development services + Advertising, public relations, and related services + Veterinary services + Other professional, scientific, and technical services","Miscelaneous business, consulting and legal services",13594813
335,"Household appliance manufacturing + Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.","Household appliance and lighting manufacturing",513029
523,"Securities, commodities, funds, trusts, and other financial investments","Financial investments",1447399
525,"Securities, commodities, funds, trusts, and other financial investments","Financial investments",1447399
623,"Nursing care facilities (skilled nursing facilities) + Residential care facilities, except skilled nursing facilities","Nursing and residential care facilities",3477016
624,"Individual and family services + Community food and housing, and emergency services + Vocational rehabilitation services + Child day care services","Daycare and rehab services",4688441
112,"Animal production and aquaculture","Animal production",666517
521,"Banking and related activities","Banking",2275038
518,"Data processing, hosting, and related services","Data processing",173353
519,"Internet publishing and broadcasting and web search portals + Libraries and archives + Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals","Libraries and information services",573718
621,"Offices of physicians + Offices of dentists + Offices of chiropractors + Offices of optometrists + Offices of other health practitioners + Outpatient care centers + Home health care services + Other health care services","Doctors' offices",9735695
448,"Clothing stores + Shoe stores + Jewelry, luggage, and leather goods stores","Clothing stores",1938818
522,"Banking and related activities + Savings institutions, including credit unions + Nondepository credit and related activities","Banking and credit unions",3718179
487,"Scenic and sightseeing transportation","Sightseeing transportation",55153
622,"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals + Psychiatric and substance abuse hospitals","Hospitals",8049871
326,"Plastics product manufacturing + Tire manufacturing + Rubber products, except tires, manufacturing","Plastic, tire and rubber manufacturing",727011
327,"Pottery, ceramics, and plumbing fixture manufacturing + Clay building material and refractories manufacturing + Glass and glass product manufacturing + Cement, concrete, lime, and gypsum product manufacturing + Miscellaneous nonmetallic mineral product manufacturing","Cement, concret, clay, glass manufacturing",495501
445,"Supermarkets and other grocery (except convenience) stores + Convenience Stores + Specialty food stores + Beer, wine, and liquor stores","Supermarkets and convenience stores",4200025
323,"Printing and related support activities","Printing",617245
483,"Water transportation","Water transportation",99589
324,"Petroleum refining + Miscellaneous petroleum and coal products","Petroleum refining and coal products",241028
446,"Pharmacies and drug stores + Health and personal care, except drug, stores","Pharmacies",1644008
